Datacode,SA_NAME,GEOGID,Electoral Division CSO Code,Electoral Division Name,County,NUTS_III,NUTS_II,Planning Region,Households_With_Cars_No_Motor_Car_2011,Households_With_Cars_One_Motor_Car_2011,Households_With_Cars_Two_Motor_Cars_2011,Households_With_Cars_Three_Motor_Cars_2011,Households_With_Cars_Four_Or_More_Motor_Cars_2011,Households_With_Cars_Total_2011,Perc_Households_With_Cars_No_Motor_Car_2011,Perc_Households_With_Cars_One_Motor_Car_2011,Perc_Households_With_Cars_Two_Motor_Cars_2011,Perc_Households_With_Cars_Three_Motor_Cars_2011,Perc_Households_With_Cars_Four_Or_More_Motor_Cars_2011,Households_With_Personal_Computer_Total_2011,Households_With_Personal_Computer_Yes_2011,Households_With_Personal_Computer_No_2011,Households_With_Personal_Computer_Not_Stated_2011,Perc_Households_With_Personal_Computer_Yes_2011,Perc_Households_With_Personal_Computer_No_2011,Perc_Households_With_Personal_Computer_Not_Stated_2011,Households_With_Internet_Access_Broadband_2011,Households_With_Internet_Access_Other_Connection_2011,Households_With_Internet_Access_No_Access_To_Internet_2011,Households_With_Internet_Access_Not_Stated_2011,Households_With_Internet_Access_Total_2011,Perc_Households_With_Internet_Access_Broadband_2011,Perc_Households_With_Internet_Access_Other_Connection_2011,Perc_Households_With_Internet_Access_No_Access_To_Internet_2011,Perc_Households_With_Internet_Access_Not_Stated_2011
48,17001001,A017001001,1011,011 Agha,Carlow,South-East,SE,Southern,9,32,58,19,5,123,7.32,26.02,47.15,15.45,4.07,123,93,28,2,75.61,22.76,1.63,70,22,30,1,123,56.91,17.89,24.39,0.81
49,17002001,A017002001,1012,012 Ballinacarrig,Carlow,South-East,SE,Southern,6,33,52,13,4,108,5.56,30.56,48.15,12.04,3.7,108,83,24,1,76.85,22.22,0.93,64,19,25,0,108,59.26,17.59,23.15,0
50,17002002,A017002002,1012,012 Ballinacarrig,Carlow,South-East,SE,Southern,7,56,58,11,3,135,5.19,41.48,42.96,8.15,2.22,135,109,23,3,80.74,17.04,2.22,93,14,24,4,135,68.89,10.37,17.78,2.96
51,17002003,A017002003,1012,012 Ballinacarrig,Carlow,South-East,SE,Southern,6,28,50,12,8,104,5.77,26.92,48.08,11.54,7.69,104,86,16,2,82.69,15.38,1.92,77,10,15,2,104,74.04,9.62,14.42,1.92
52,17003001,A017003001,1013,013 Ballintemple,Carlow,South-East,SE,Southern,2,23,42,8,3,78,2.56,29.49,53.85,10.26,3.85,78,57,20,1,73.08,25.64,1.28,41,8,26,3,78,52.56,10.26,33.33,3.85
53,17003002,A017003002,1013,013 Ballintemple,Carlow,South-East,SE,Southern,3,39,48,13,5,108,2.78,36.11,44.44,12.04,4.63,108,80,28,0,74.07,25.93,0,66,11,30,1,108,61.11,10.19,27.78,0.93
54,17004001,A017004001,1014,014 Ballon,Carlow,South-East,SE,Southern,4,47,44,4,2,101,3.96,46.53,43.56,3.96,1.98,101,86,13,2,85.15,12.87,1.98,76,10,13,2,101,75.25,9.9,12.87,1.98
55,17004002,A017004002,1014,014 Ballon,Carlow,South-East,SE,Southern,4,19,32,11,3,69,5.8,27.54,46.38,15.94,4.35,69,54,15,0,78.26,21.74,0,40,10,19,0,69,57.97,14.49,27.54,0
56,17004003,A017004003,1014,014 Ballon,Carlow,South-East,SE,Southern,8,22,22,4,1,57,14.04,38.6,38.6,7.02,1.75,57,35,21,1,61.4,36.84,1.75,23,9,23,2,57,40.35,15.79,40.35,3.51
57,17005001,A017005001,1015,015 Ballyellin,Carlow,South-East,SE,Southern,4,26,27,5,8,70,5.71,37.14,38.57,7.14,11.43,70,47,23,0,67.14,32.86,0,43,6,20,1,70,61.43,8.57,28.57,1.43
58,17005002,A017005002,1015,015 Ballyellin,Carlow,South-East,SE,Southern,3,22,34,7,5,71,4.23,30.99,47.89,9.86,7.04,71,49,22,0,69.01,30.99,0,46,2,19,4,71,64.79,2.82,26.76,5.63
59,17006001,A017006001,1016,016 Ballymoon,Carlow,South-East,SE,Southern,4,31,63,15,5,118,3.39,26.27,53.39,12.71,4.24,118,84,32,2,71.19,27.12,1.69,56,25,34,3,118,47.46,21.19,28.81,2.54
203,17007001,A017007001,1049,049 Ballymurphy,Carlow,South-East,SE,Southern,7,40,36,10,2,95,7.37,42.11,37.89,10.53,2.11,95,63,30,2,66.32,31.58,2.11,52,11,31,1,95,54.74,11.58,32.63,1.05
60,17008001,A017008001,1017,017 Borris,Carlow,South-East,SE,Southern,8,34,26,5,2,75,10.67,45.33,34.67,6.67,2.67,75,54,21,0,72,28,0,51,3,19,2,75,68,4,25.33,2.67
61,17008002,A017008002,1017,017 Borris,Carlow,South-East,SE,Southern,4,20,46,11,1,82,4.88,24.39,56.1,13.41,1.22,82,58,23,1,70.73,28.05,1.22,53,6,23,0,82,64.63,7.32,28.05,0
62,17008003,A017008003,1017,017 Borris,Carlow,South-East,SE,Southern,17,37,23,5,1,83,20.48,44.58,27.71,6.02,1.2,83,58,24,1,69.88,28.92,1.2,53,4,24,2,83,63.86,4.82,28.92,2.41
63,17008004,A017008004,1017,017 Borris,Carlow,South-East,SE,Southern,25,69,29,3,1,127,19.69,54.33,22.83,2.36,0.79,127,87,40,0,68.5,31.5,0,70,11,45,1,127,55.12,8.66,35.43,0.79
64,17009001,A017009001,1018,018 Burton Hall,Carlow,South-East,SE,Southern,2,19,51,7,0,79,2.53,24.05,64.56,8.86,0,79,66,12,1,83.54,15.19,1.27,54,7,15,3,79,68.35,8.86,18.99,3.8
65,17009002,A017009002,1018,018 Burton Hall,Carlow,South-East,SE,Southern,7,27,43,4,0,81,8.64,33.33,53.09,4.94,0,81,62,17,2,76.54,20.99,2.47,48,9,19,5,81,59.26,11.11,23.46,6.17
66,17010001,A017010001,1019,019 Carlow Rural,Carlow,South-East,SE,Southern,4,28,29,14,3,78,5.13,35.9,37.18,17.95,3.85,78,56,20,2,71.79,25.64,2.56,53,2,23,0,78,67.95,2.56,29.49,0
67,17010002,A017010002,1019,019 Carlow Rural,Carlow,South-East,SE,Southern,16,49,31,6,0,102,15.69,48.04,30.39,5.88,0,102,76,25,1,74.51,24.51,0.98,66,9,24,3,102,64.71,8.82,23.53,2.94
68,17010003,A017010003,1019,019 Carlow Rural,Carlow,South-East,SE,Southern,14,28,46,12,6,106,13.21,26.42,43.4,11.32,5.66,106,73,27,6,68.87,25.47,5.66,58,13,30,5,106,54.72,12.26,28.3,4.72
69,17010004,A017010004,1019,019 Carlow Rural,Carlow,South-East,SE,Southern,10,49,59,8,2,128,7.81,38.28,46.09,6.25,1.56,128,96,28,4,75,21.88,3.13,86,12,28,2,128,67.19,9.38,21.88,1.56
70,17010005,A017010005,1019,019 Carlow Rural,Carlow,South-East,SE,Southern,27,22,25,11,4,89,30.34,24.72,28.09,12.36,4.49,89,49,33,7,55.06,37.08,7.87,56,9,18,6,89,62.92,10.11,20.22,6.74
71,17010006,A017010006,1019,019 Carlow Rural,Carlow,South-East,SE,Southern,6,36,37,7,3,89,6.74,40.45,41.57,7.87,3.37,89,81,4,4,91.01,4.49,4.49,76,6,5,2,89,85.39,6.74,5.62,2.25
72,17010007,A017010007,1019,019 Carlow Rural,Carlow,South-East,SE,Southern,9,37,16,4,1,67,13.43,55.22,23.88,5.97,1.49,67,49,13,5,73.13,19.4,7.46,52,1,10,4,67,77.61,1.49,14.93,5.97
73,17010008,A017010008,1019,019 Carlow Rural,Carlow,South-East,SE,Southern,26,83,30,1,1,141,18.44,58.87,21.28,0.71,0.71,141,114,24,3,80.85,17.02,2.13,91,21,27,2,141,64.54,14.89,19.15,1.42
74,17010009,A017010009,1019,019 Carlow Rural,Carlow,South-East,SE,Southern,26,66,27,0,0,119,21.85,55.46,22.69,0,0,119,81,37,1,68.07,31.09,0.84,68,11,35,5,119,57.14,9.24,29.41,4.2
